'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for AVALON AIRPORT Victoria for January 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
AVALON AIRPORT,01/01/2009,5.9,0.0, ,19.6,13.0,77,35,9.10,25.70
AVALON AIRPORT,02/01/2009,5.2,0.0, ,18.6,7.8,83,44,7.11,31.09
AVALON AIRPORT,03/01/2009,4.7,0.8, ,19.5,4.5,87,40,3.84,28.34
AVALON AIRPORT,04/01/2009,6.7,0.0, ,26.3,7.5,90,32,3.86,34.77
AVALON AIRPORT,05/01/2009,6.8,0.0, ,27.3,9.3,90,34,4.01,34.02
AVALON AIRPORT,06/01/2009,8.3,0.0, ,32.2,13.2,89,35,5.55,33.79
AVALON AIRPORT,07/01/2009,4.1,0.0, ,20.9,16.3,98,49,4.88,19.90
AVALON AIRPORT,08/01/2009,5.6,0.6, ,20.3,7.7,88,41,7.39,32.02
AVALON AIRPORT,09/01/2009,6.0,0.0, ,20.3,10.9,70,44,5.48,34.45
AVALON AIRPORT,10/01/2009,5.6,0.0, ,22.2,12.7,85,53,5.38,33.01
AVALON AIRPORT,11/01/2009,5.0,0.0, ,22.3,8.9,89,51,3.70,29.46
AVALON AIRPORT,12/01/2009,5.6,0.0, ,23.7,10.7,84,47,3.68,31.48
AVALON AIRPORT,13/01/2009,11.1,0.0, ,39.1,9.3,89,10,4.55,34.61
AVALON AIRPORT,14/01/2009,9.4,0.0, ,27.8,19.6,79,13,7.65,33.63
AVALON AIRPORT,15/01/2009,6.9,0.0, ,24.6,14.1,80,32,5.97,31.51
AVALON AIRPORT,16/01/2009,7.3,0.0, ,21.9,14.1,66,26,8.69,29.36
AVALON AIRPORT,17/01/2009,5.5,0.0, ,20.3,13.0,78,45,5.28,30.31
AVALON AIRPORT,18/01/2009,6.0,0.0, ,23.7,8.7,83,42,3.48,34.32
AVALON AIRPORT,19/01/2009,9.7,0.0, ,34.8,8.4,79,12,4.49,33.91
AVALON AIRPORT,20/01/2009,11.7,0.0, ,40.5,13.8,79,8,5.41,30.70
AVALON AIRPORT,21/01/2009,6.7,0.0, ,28.0,13.6,85,39,3.95,32.35
AVALON AIRPORT,22/01/2009,11.6,0.0, ,34.6,14.6,78,11,10.06,21.36
AVALON AIRPORT,23/01/2009,8.5,0.0, ,31.9,11.2,71,22,4.61,32.85
AVALON AIRPORT,24/01/2009,7.4,0.0, ,24.3,15.2,81,25,7.49,31.03
AVALON AIRPORT,25/01/2009,6.5,0.0, ,25.4,9.1,81,36,4.28,33.08
AVALON AIRPORT,26/01/2009,5.8,0.0, ,24.2,10.2,90,49,4.40,33.20
AVALON AIRPORT,27/01/2009,7.6,0.0, ,32.9,14.0,91,26,3.12,32.81
AVALON AIRPORT,28/01/2009,11.3,0.0, ,41.9,13.6,85,13,4.60,32.64
AVALON AIRPORT,29/01/2009,14.6,0.0, ,45.8,19.8,59,11,7.12,27.49
AVALON AIRPORT,30/01/2009,12.8,0.0, ,45.0,21.3,73,9,5.40,31.77
AVALON AIRPORT,31/01/2009,6.4,0.0, ,28.1,20.7,80,55,6.36,27.63
Totals:,,236.3,1.4, ,,,,,, 
