.model,Date,extent,trend,season_12,remainder,season_adjust
STL(extent ~ trend() + season(period = 12)),1978-11-01,11.65,12.701438012788167,-1.0377758530732715,-0.013662159714893818,12.687775853073273
STL(extent ~ trend() + season(period = 12)),1978-12-01,13.67,12.655823960524115,1.12386953126893,-0.10969349179304544,12.54613046873107
STL(extent ~ trend() + season(period = 12)),1979-01-01,15.41,12.610209908260066,2.6726726361128197,0.12711745562711485,12.73732736388718
STL(extent ~ trend() + season(period = 12)),1979-02-01,16.18,12.564595855996014,3.549491817881627,0.06591232612235842,12.630508182118373
STL(extent ~ trend() + season(period = 12)),1979-03-01,16.34,12.522043769690232,3.6841708937584134,0.13378533655135527,12.655829106241587
STL(extent ~ trend() + season(period = 12)),1979-04-01,15.45,12.479491683384447,2.9986625452354683,-0.028154228619916566,12.45133745476453
STL(extent ~ trend() + season(period = 12)),1979-05-01,13.86,12.436939597078664,1.5058252098641485,-0.08276480694281396,12.35417479013585
STL(extent ~ trend() + season(period = 12)),1979-06-01,12.53,12.397930387227774,0.07635351249394805,0.05571610027827667,12.45364648750605
STL(extent ~ trend() + season(period = 12)),1979-07-01,10.31,12.358921177376883,-2.024585641435125,-0.024335535941755637,12.334585641435128
STL(extent ~ trend() + season(period = 12)),1979-08-01,8.04,12.319911967525993,-4.302241363690739,0.022329396164746385,12.34224136369074
STL(extent ~ trend() + season(period = 12)),1979-09-01,7.05,12.295455863832531,-5.026144717461226,-0.21931114637130555,12.076144717461226
STL(extent ~ trend() + season(period = 12)),1979-10-01,8.75,12.270999760139071,-3.219661382179972,-0.3013383779590999,11.969661382179972
STL(extent ~ trend() + season(period = 12)),1979-11-01,10.94,12.24654365644561,-1.032943735819741,-0.2735999206258697,11.97294373581974
STL(extent ~ trend() + season(period = 12)),1979-12-01,13.34,12.243452048338394,1.1212617828044917,-0.024713831142886278,12.218738217195508
STL(extent ~ trend() + season(period = 12)),1980-01-01,14.86,12.240360440231179,2.6699662610428794,-0.05032670127405936,12.19003373895712
STL(extent ~ trend() + season(period = 12)),1980-02-01,15.96,12.237268832123963,3.5469235898687987,0.17580757800723923,12.413076410131202
STL(extent ~ trend() + season(period = 12)),1980-03-01,16.04,12.257261753874069,3.684438516108226,0.09829973001770398,12.355561483891773
STL(extent ~ trend() + season(period = 12)),1980-04-01,15.43,12.277254675624173,3.0001681183565734,0.15257720601925406,12.429831881643427
STL(extent ~ trend() + season(period = 12)),1980-05-01,13.79,12.297247597374279,1.5079778873982526,-0.015225484772532383,12.282022112601746
STL(extent ~ trend() + season(period = 12)),1980-06-01,12.2,12.304284211178198,0.07574523178572025,-0.1800294429639191,12.124254768214278
STL(extent ~ trend() + season(period = 12)),1980-07-01,10.1,12.311320824982118,-2.0248724082167437,-0.18644841676537638,12.124872408216742
