.model,Date,extent,trend,season_12,remainder,season_adjust
STL(extent ~ trend() + season(period = 12)),1978-11-01,15.9,12.057808901097452,4.3631429733010805,-0.5209518743985324,11.53685702669892
STL(extent ~ trend() + season(period = 12)),1978-12-01,10.4,12.007131458264114,-1.3451588532679757,-0.2619726049961386,11.745158853267975
STL(extent ~ trend() + season(period = 12)),1979-01-01,5.4,11.956454015430777,-6.592575667331808,0.03612165190103056,11.992575667331808
STL(extent ~ trend() + season(period = 12)),1979-02-01,3.14,11.90577657259744,-8.475624860402437,-0.29015171219500147,11.615624860402438
STL(extent ~ trend() + season(period = 12)),1979-03-01,4,11.845192113257404,-7.6727197618023215,-0.17247235145508277,11.672719761802322
STL(extent ~ trend() + season(period = 12)),1979-04-01,7.49,11.78460765391737,-4.881871242142512,0.5872635882251416,12.371871242142511
STL(extent ~ trend() + season(period = 12)),1979-05-01,10.83,11.724023194577335,-1.573316269637464,0.67929307506013,12.403316269637465
STL(extent ~ trend() + season(period = 12)),1979-06-01,14.19,11.663381206479784,1.760792054583133,0.7658267389370828,12.429207945416866
STL(extent ~ trend() + season(period = 12)),1979-07-01,16.52,11.602739218382235,4.501650859626514,0.41560992199125124,12.018349140373486
STL(extent ~ trend() + season(period = 12)),1979-08-01,17.7,11.542097230284684,6.251829867361404,-0.09392709764608931,11.448170132638595
STL(extent ~ trend() + season(period = 12)),1979-09-01,18.2,11.443295267706356,7.042368396413834,-0.2856636641201913,11.157631603586164
STL(extent ~ trend() + season(period = 12)),1979-10-01,17.82,11.34449330512803,6.596956609812435,-0.12144991494046309,11.223043390187566
STL(extent ~ trend() + season(period = 12)),1979-11-01,15.34,11.245691342549701,4.3719878931506555,-0.2776792357003579,10.968012106849343
STL(extent ~ trend() + season(period = 12)),1979-12-01,9.24,11.168505472369938,-1.326803716884165,-0.6017017554857738,10.566803716884165
STL(extent ~ trend() + season(period = 12)),1980-01-01,4.56,11.091319602190175,-6.5884286576615905,0.05710905547141465,11.14842865766159
STL(extent ~ trend() + season(period = 12)),1980-02-01,2.82,11.014133732010412,-8.472310521174244,0.2781767891638314,11.292310521174244
STL(extent ~ trend() + season(period = 12)),1980-03-01,3.29,11.037616404063737,-7.666516306086992,-0.08110009797674422,10.956516306086993
STL(extent ~ trend() + season(period = 12)),1980-04-01,5.4,11.06109907611706,-4.880428810716526,-0.7806702654005342,10.280428810716526
STL(extent ~ trend() + season(period = 12)),1980-05-01,8.86,11.084581748170384,-1.5768571872071688,-0.6477245609632156,10.436857187207169
STL(extent ~ trend() + season(period = 12)),1980-06-01,12.49,11.123423211610357,1.7521798445695973,-0.3856030561799546,10.737820155430402
STL(extent ~ trend() + season(period = 12)),1980-07-01,15.56,11.162264675050329,4.493905282159094,-0.09616995720942079,11.066094717840908
STL(extent ~ trend() + season(period = 12)),1980-08-01,17.81,11.201106138490301,6.245998779490568,0.36289508201912923,11.56400122050943
STL(extent ~ trend() + season(period = 12)),1980-09-01,18.82,11.226172277027521,7.036085828537939,0.5577418944345407,11.783914171462062
STL(extent ~ trend() + season(period = 12)),1980-10-01,18.57,11.251238415564742,6.584192188008028,0.7345693964272293,11.985807811991972
STL(extent ~ trend() + season(period = 12)),1980-11-01,16.13,11.276304554101962,4.380939156322959,0.4727562895750772,11.74906084367704
STL(extent ~ trend() + season(period = 12)),1980-12-01,10.16,11.298223455059277,-1.3086091674037204,0.17038571234444255,11.46860916740372
