.model,Period,IOD,trend,season_12,remainder,season_adjust
STL(IOD ~ trend() + season(period = 12)),1870-01-01,-0.438,-0.3949869934913952,0.09671823225725695,-0.1397312387658618,-0.534718232257257
STL(IOD ~ trend() + season(period = 12)),1870-02-01,-0.336,-0.39719629297959447,0.1279617225584533,-0.06676542957885889,-0.46396172255845336
STL(IOD ~ trend() + season(period = 12)),1870-03-01,0.177,-0.3994055924677937,0.1579558502160134,0.41844974225178033,0.01904414978398658
STL(IOD ~ trend() + season(period = 12)),1870-04-01,-0.048,-0.401614891955993,0.11435489955795208,0.2392599923980409,-0.16235489955795207
STL(IOD ~ trend() + season(period = 12)),1870-05-01,-0.48,-0.4001304894184161,0.019753086949280095,-0.09962259753086394,-0.49975308694928006
STL(IOD ~ trend() + season(period = 12)),1870-06-01,-0.548,-0.39864608688083925,-9.888366663337086e-4,-0.14836507645282704,-0.5470111633336663
STL(IOD ~ trend() + season(period = 12)),1870-07-01,-0.65,-0.3971616843432624,-0.14087659505428954,-0.11196172060244813,-0.5091234049457105
STL(IOD ~ trend() + season(period = 12)),1870-08-01,-0.522,-0.3956980581254524,-0.0576709338288144,-0.06863100804573324,-0.46432906617118563
STL(IOD ~ trend() + season(period = 12)),1870-09-01,-0.728,-0.39423443190764235,-0.11711009788533144,-0.2166554702070262,-0.6108899021146685
STL(IOD ~ trend() + season(period = 12)),1870-10-01,-0.636,-0.39277080568983236,-0.18798039036580352,-0.055248803944364155,-0.4480196096341965
STL(IOD ~ trend() + season(period = 12)),1870-11-01,-0.401,-0.38252903791174314,-0.011161529343429944,-0.007309432744826927,-0.38983847065657007
STL(IOD ~ trend() + season(period = 12)),1870-12-01,-0.375,-0.37228727013365387,0.0055714815205985,-0.008284211386944629,-0.3805714815205985
STL(IOD ~ trend() + season(period = 12)),1871-01-01,-0.273,-0.36204550235556465,0.09338979583439992,-0.004344293478835304,-0.36638979583439996
STL(IOD ~ trend() + season(period = 12)),1871-02-01,-0.17,-0.3426542890513713,0.12817150132448937,0.04448278772688197,-0.29817150132448933
STL(IOD ~ trend() + season(period = 12)),1871-03-01,-0.212,-0.32326307574717794,0.15405668651242474,-0.04279361076524679,-0.36605668651242473
STL(IOD ~ trend() + season(period = 12)),1871-04-01,-0.148,-0.3038718624429846,0.10826243386026024,0.04760942858272432,-0.25626243386026026
STL(IOD ~ trend() + season(period = 12)),1871-05-01,-0.115,-0.2881220897469788,0.014510938860667764,0.15861115088631103,-0.12951093886066775
STL(IOD ~ trend() + season(period = 12)),1871-06-01,-0.163,-0.27237231705097303,-0.0024890846946539393,0.11186140174562698,-0.16051091530534606
STL(IOD ~ trend() + season(period = 12)),1871-07-01,-0.444,-0.25662254435496723,-0.14052898797329863,-0.04684846767173412,-0.30347101202670135
STL(IOD ~ trend() + season(period = 12)),1871-08-01,-0.375,-0.245249047938129,-0.04955024146662718,-0.08020071059524383,-0.3254497585333728
STL(IOD ~ trend() + season(period = 12)),1871-09-01,-0.336,-0.23387555152129072,-0.10482933615146224,0.002704887672752926,-0.2311706638485378
STL(IOD ~ trend() + season(period = 12)),1871-10-01,-0.527,-0.22250205510445248,-0.18310263266181645,-0.12139531223373107,-0.34389736733818355
STL(IOD ~ trend() + season(period = 12)),1871-11-01,-0.217,-0.21560441029956,-0.01304614254966691,0.011650552849226892,-0.20395385745033312
STL(IOD ~ trend() + season(period = 12)),1871-12-01,-0.228,-0.20870676549466755,0.003360650063458874,-0.022653884568791333,-0.23136065006345888
STL(IOD ~ trend() + season(period = 12)),1872-01-01,-0.037,-0.20180912068977508,0.08978324629008916,0.07502587439968592,-0.12678324629008916
STL(IOD ~ trend() + season(period = 12)),1872-02-01,0.041,-0.19396574188530386,0.12818436898968147,0.1067813728956224,-0.08718436898968146
STL(IOD ~ trend() + season(period = 12)),1872-03-01,-0.076,-0.18612236308083263,0.15004181372860187,-0.03991945064776922,-0.22604181372860185
STL(IOD ~ trend() + season(period = 12)),1872-04-01,-0.084,-0.1782789842763614,0.10218793306299942,-0.007908948786638004,-0.1861879330629994
STL(IOD ~ trend() + season(period = 12)),1872-05-01,-0.148,-0.1740342470965253,0.009420429653151683,0.01661381744337362,-0.15742042965315167
STL(IOD ~ trend() + season(period = 12)),1872-06-01,-0.084,-0.16978950991668915,-0.003679115807536314,0.08946862572422545,-0.08032088419246369
STL(IOD ~ trend() + season(period = 12)),1872-07-01,-0.285,-0.16554477273685303,-0.13971258594252828,0.020257358679381332,-0.1452874140574717
STL(IOD ~ trend() + season(period = 12)),1872-08-01,-0.325,-0.17953616516143603,-0.04083446338975365,-0.10462937144881032,-0.28416553661024635
STL(IOD ~ trend() + season(period = 12)),1872-09-01,-0.333,-0.19352755758601906,-0.09182719793799986,-0.04764524447598109,-0.24117280206200015
STL(IOD ~ trend() + season(period = 12)),1872-10-01,-0.27,-0.20751895001060205,-0.17745628204820824,0.11497523205881027,-0.09254371795179178
STL(IOD ~ trend() + season(period = 12)),1872-11-01,-0.106,-0.23644945893553143,-0.014114946416254735,0.14456440535178616,-0.09188505358374527
STL(IOD ~ trend() + season(period = 12)),1872-12-01,-0.111,-0.2653799678604608,0.0019109842931198926,0.1524689835673409,-0.1129109842931199
STL(IOD ~ trend() + season(period = 12)),1873-01-01,0.062,-0.2943104767853902,0.08761917695932168,0.2686912998260685,-0.025619176959321685
STL(IOD ~ trend() + season(period = 12)),1873-02-01,-0.319,-0.32555955114508545,0.12969604862756415,-0.12313649748247874,-0.4486960486275642
STL(IOD ~ trend() + season(period = 12)),1873-03-01,-0.404,-0.35680862550478065,0.13310455407398353,-0.18029592856920296,-0.5371045540739836
STL(IOD ~ trend() + season(period = 12)),1873-04-01,-0.272,-0.3880576998644759,0.08412158858161906,0.03193611128285684,-0.3561215885816191
STL(IOD ~ trend() + season(period = 12)),1873-05-01,-0.411,-0.4109614398639111,-0.0018375698623854914,0.0017990097262965965,-0.4091624301376145
STL(IOD ~ trend() + season(period = 12)),1873-06-01,-0.587,-0.4338651798633463,-0.0059879774992188765,-0.14714684263743483,-0.5810120225007811
STL(IOD ~ trend() + season(period = 12)),1873-07-01,-0.689,-0.45676891986278145,-0.13748536415479776,-0.09474571598242065,-0.5515146358452021
STL(IOD ~ trend() + season(period = 12)),1873-08-01,-0.8,-0.4735177642478053,-0.025125550059020917,-0.3013566856931738,-0.7748744499409791
STL(IOD ~ trend() + season(period = 12)),1873-09-01,-0.694,-0.49026660863282906,-0.06267932022051982,-0.14105407114665108,-0.6313206797794801
STL(IOD ~ trend() + season(period = 12)),1873-10-01,-0.479,-0.5070154530178529,-0.16330505362715686,0.19132050664500977,-0.3156949463728431
STL(IOD ~ trend() + season(period = 12)),1873-11-01,-0.353,-0.5059232265518846,-0.013953013258330071,0.1668762398102147,-0.3390469867416699
STL(IOD ~ trend() + season(period = 12)),1873-12-01,-0.303,-0.5048310000859164,-2.2666696657170065e-5,0.2018536667825736,-0.3029773333033428
STL(IOD ~ trend() + season(period = 12)),1874-01-01,-0.381,-0.5037387736199481,0.08402296072749199,0.038715812892456125,-0.465022960727492
STL(IOD ~ trend() + season(period = 12)),1874-02-01,-0.388,-0.5080584945498693,0.13006925966864166,-0.010010765118772413,-0.5180692596686417
STL(IOD ~ trend() + season(period = 12)),1874-03-01,-0.586,-0.5123782154797905,0.1153225041268171,-0.18894428864702661,-0.7013225041268171
STL(IOD ~ trend() + season(period = 12)),1874-04-01,-0.754,-0.5166979364097116,0.06565855356640034,-0.30296061715668876,-0.8196585535664004
STL(IOD ~ trend() + season(period = 12)),1874-05-01,-0.441,-0.5319856447410166,-0.01304416015305128,0.10402980489406788,-0.42795583984694874
STL(IOD ~ trend() + season(period = 12)),1874-06-01,-0.465,-0.5472733530723217,-0.007739580792942687,0.09001293386526438,-0.45726041920705734
STL(IOD ~ trend() + season(period = 12)),1874-07-01,-0.338,-0.5625610614036267,-0.13419503479602116,0.3587560961996479,-0.20380496520397887
STL(IOD ~ trend() + season(period = 12)),1874-08-01,-0.345,-0.5450197442567777,-0.007895854551429507,0.2079155988082072,-0.3371041454485705
