#title = mean sea level anomaly global ocean (Annual signals retained) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 3.07 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.96140,-16.03000,,,
1992.98650,-17.73000,,,
1993.01230,-14.63000,,,
1993.04070,-19.63000,,,
1993.06600,-25.03000,,,
1993.09740,-29.13000,,,
1993.12060,-27.43000,,,
1993.14930,-21.63000,,,
1993.17650,-18.73000,,,
1993.20370,-19.23000,,,
1993.23070,-22.73000,,,
1993.28510,-26.03000,,,
1993.31230,-19.83000,,,
1993.33940,-19.63000,,,
1993.36650,-16.93000,,,
1993.39370,-21.83000,,,
1993.42080,-26.53000,,,
1993.44800,-23.53000,,,
1993.47510,-18.73000,,,
1993.50210,-15.43000,,,
1993.52940,-16.03000,,,
1993.58370,-22.83000,,,
1993.61170,-18.63000,,,
1993.63810,-13.23000,,,
1993.66520,-8.13000,,,
1993.69230,-8.83000,,,
1993.71890,-13.93000,,,
1993.74660,-13.33000,,,
1993.77380,-7.83000,,,
1993.80090,-8.13000,,,
1993.85530,-5.23000,,,
1993.88240,-11.83000,,,
1993.90980,-13.43000,,,
1993.93670,-12.23000,,,
1993.96390,-5.93000,,,
1993.99070,-5.33000,,,
1994.01810,-15.23000,,,
1994.04520,-16.23000,,,
1994.07230,-18.63000,,,
1994.09950,-20.93000,,,
1994.12670,-19.83000,,,
1994.15390,-13.83000,,,
1994.18090,-13.33000,,,
1994.23530,-18.43000,,,
1994.26240,-16.23000,,,
1994.28960,-14.13000,,,
1994.31680,-11.63000,,,
1994.34390,-15.43000,,,
1994.37100,-20.33000,,,
1994.39820,-23.43000,,,
1994.42530,-20.53000,,,
1994.45240,-14.13000,,,
1994.50670,-20.23000,,,
1994.53390,-18.53000,,,
1994.56100,-20.53000,,,
1994.58820,-15.63000,,,
1994.61540,-11.73000,,,
1994.64250,-7.33000,,,
1994.66970,-8.53000,,,
1994.69680,-9.53000,,,
1994.72390,-10.93000,,,
1994.75100,-8.73000,,,
1994.77820,-6.33000,,,
1994.80540,0.17000,,,
1994.83250,-1.53000,,,
1994.88680,-10.53000,,,
1994.91400,-11.83000,,,
1994.94120,-3.23000,,,
1994.96840,-3.63000,,,
1994.99550,-8.13000,,,
1995.02260,-12.23000,,,
1995.04970,-15.83000,,,
1995.07690,-8.43000,,,
1995.10400,-9.73000,,,
1995.13120,-11.53000,,,
1995.15830,-12.23000,,,
1995.21270,-11.23000,,,
1995.23980,-16.63000,,,
1995.26690,-11.13000,,,
1995.29410,-9.03000,,,
1995.32120,-13.03000,,,
1995.37550,-17.83000,,,
1995.40280,-14.73000,,,
1995.42980,-9.23000,,,
1995.45690,-12.33000,,,
1995.48410,-17.63000,,,
1995.53840,-20.53000,,,
1995.56550,-15.43000,,,
1995.59270,-11.53000,,,
1995.61990,-7.23000,,,
1995.64700,-10.83000,,,
1995.67400,-10.63000,,,
1995.70130,-6.33000,,,
1995.72850,2.07000,,,
1995.75560,0.07000,,,
1995.78270,-0.93000,,,
1995.83710,-5.23000,,,
1995.86430,-4.93000,,,
1995.88990,-1.53000,,,
1995.94560,-1.23000,,,
1995.97280,-3.23000,,,
1995.99980,-10.13000,,,
1996.02700,-13.13000,,,
1996.05330,-11.63000,,,
1996.08140,-7.33000,,,
1996.10840,-4.13000,,,
1996.16310,-11.23000,,,
1996.18990,-14.43000,,,
